Country,last_value,Currency,Code
philippines,19.404986883789,Philippine Peso,PHP
palau,0.8117700376963991,US Dollar,USD
papua new guinea,2.10746125115928,Kina,PGK
poland,1.811159,Zloty,PLN
puerto rico,0.9120161908821541,US Dollar,USD
portugal,0.574206,Euro,EUR
paraguay,2551.04021521804,Guarani,PYG
qatar,2.40352989003426,Qatari Rial,QAR
romania,1.6911969158646298,New Romanian Leu,RON
russian federation,24.247943,Russian Ruble,RUB
rwanda,317.182454956289,Rwanda Franc,RWF
saudi arabia,1.7694461283959197,Saudi Riyal,SAR
sudan,10.5008468567533,Sudanese Pound,SDG
senegal,239.12275993346,CFA Franc BCEAO,XOF
singapore,0.875475197620001,Singapore Dollar,SGD
solomon islands,6.97704964624406,Solomon Islands Dollar,SBD
sierra leone,2649.0305251514,Leone,SLL
el salvador,0.456906578505361,El Salvador Colon,SVC
el salvador,0.456906578505361,US Dollar,USD
san marino,0.681416995287087,Euro,EUR
somalia,8229.531085861441,Somali Shilling,SOS
serbia,41.207997797046204,Serbian Dinar,RSD
south sudan,3.2682952304697204,South Sudanese Pound,SSP
sao tome and principe,10.354404668418699,Dobra,STD
suriname,2.74870090935574,Surinam Dollar,SRD
slovenia,0.568426,Euro,EUR
sweden,8.902761,Swedish Krona,SEK
sint maarten (dutch part),1.4417735192505903,Netherlands Antillean Guilder,ANG
seychelles,8.02381920700948,Seychelles Rupee,SCR
turks and caicos islands,1.0263656903801,US Dollar,USD
chad,252.02796029243402,CFA Franc BEAC,XAF
togo,238.71139332045,CFA Franc BCEAO,XOF
thailand,12.573632462529199,Baht,THB
tajikistan,2.3514373614881,Somoni,TJS
turkmenistan,1.60342506581128,Turkmenistan New Manat,TMT
timor-leste,0.420643991821992,US Dollar,USD
tonga,1.67115075806166,Pa’anga,TOP
trinidad and tobago,4.2990560207373,Trinidad and Tobago Dollar,TTD
tunisia,0.8667296682716191,Tunisian Dinar,TND
turkey,2.113114,Turkish Lira,TRY
tuvalu,1.3059942981698,Australian Dollar,AUD
uganda,1299.45978146478,Uganda Shilling,UGX
ukraine,7.069492950726779,Hryvnia,UAH
uruguay,25.3512988749765,Uruguay Peso en Unidades Indexadas (URUIURUI),UYI
uruguay,25.3512988749765,Peso Uruguayo,UYU
united states,1.0,US Dollar,USD
united states,1.0,US Dollar (Next day),USN
uzbekistan,2085.54845778662,Uzbekistan Sum,UZS
"venezuela, rb",2.68098258972168,Bolivar,VEF
vanuatu,108.104856329907,Vatu,VUV
samoa,1.6626736819832701,Tala,WST
south africa,6.65256591249346,Rand,ZAR
zambia,4.6416574341166505,Zambian Kwacha,ZMW
zimbabwe,0.494348267213925,Zimbabwe Dollar,ZWL
